event,date,url
UFC Fight Night: Thompson vs. Pettis,2019-03-23,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
UFC Fight Night: Barboza vs. Gaethje,2019-03-30,https://www.bestfightodds.com/events/ufc-on-espn-2-barboza-vs-gaethje-1648
UFC 236: Holloway vs. Poirier 2,2019-04-13,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
UFC Fight Night: Overeem vs. Oleinik,2019-04-20,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
UFC Fight Night: Jacare vs. Hermansson,2019-04-27,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,https://www.bestfightodds.com/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672
UFC 237: Namajunas vs. Andrade,2019-05-11,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
UFC Fight Night: Dos Anjos vs. Lee,2019-05-18,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
UFC Fight Night: Gustafsson vs. Smith,2019-06-01,https://www.bestfightodds.com/events/ufc-on-espn-11-gustafsson-vs-smith-1676
UFC 238: Cejudo vs. Moraes,2019-06-08,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
DWCS 3.1,2019-06-18,https://www.bestfightodds.com/events/dana-white-s-contender-series-17-1712
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
DWCS 3.2,2019-06-25,https://www.bestfightodds.com/events/dana-white-s-contender-series-18-1718
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
UFC 239: Jones vs. Santos,2019-07-06,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
DWCS 3.3,2019-07-09,https://www.bestfightodds.com/events/dana-white-s-contender-series-19-1748
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
DWCS 3.4,2019-07-16,https://www.bestfightodds.com/events/dana-white-s-contender-series-20-1728
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,https://www.bestfightodds.com/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717
DWCS 3.5,2019-07-23,https://www.bestfightodds.com/events/dana-white-s-contender-series-21-1741
UFC 240: Holloway vs. Edgar,2019-07-27,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
DWCS 3.6,2019-07-30,https://www.bestfightodds.com/events/dana-white-s-contender-series-22-1742
UFC Fight Night: Covington vs. Lawler,2019-08-03,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
DWCS 3.7,2019-08-06,https://www.bestfightodds.com/events/dana-white-s-contender-series-23-1775
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,https://www.bestfightodds.com/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724
DWCS 3.8,2019-08-13,https://www.bestfightodds.com/events/dana-white-s-contender-series-24-1767
UFC 241: Cormier vs. Miocic 2,2019-08-17,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
DWCS 3.9,2019-08-20,https://www.bestfightodds.com/events/dana-white-s-contender-series-25-1776
DWCS 3.10,2019-08-27,https://www.bestfightodds.com/events/dana-white-s-contender-series-26-1782
UFC Fight Night: Andrade vs. Zhang,2019-08-31,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
UFC 242: Khabib vs. Poirier,2019-09-07,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,https://www.bestfightodds.com/events/ufc-on-espn-16-cowboy-vs-gaethje-1735
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
UFC 243: Whittaker vs. Adesanya,2019-10-05,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
UFC Fight Night: Joanna vs. Waterson,2019-10-12,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
UFC Fight Night: Reyes vs. Weidman,2019-10-18,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
UFC Fight Night: Maia vs. Askren,2019-10-26,https://www.bestfightodds.com/events/ufc-on-espn-20-maia-vs-askren-1793
UFC 244: Masvidal vs. Diaz,2019-11-02,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
UFC Fight Night: Zabit vs. Kattar,2019-11-09,https://www.bestfightodds.com/events/ufc-on-espn-21-zabit-vs-kattar-1795
UFC Fight Night: Blachowicz vs. Jacare,2019-11-16,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755
UFC Fight Night: Overeem vs. Rozenstruik,2019-12-07,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
UFC 245: Usman vs. Covington,2019-12-14,https://www.bestfightodds.com/events/ufc-245-usman-vs-covington-1787
UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
UFC 246: McGregor vs. Cowboy,2020-01-18,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
UFC Fight Night: Blaydes vs. Dos Santos,2020-01-25,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
UFC 247: Jones vs. Reyes,2020-02-08,https://www.bestfightodds.com/events/ufc-247-jones-vs-reyes-1837
UFC Fight Night: Anderson vs. Blachowicz,2020-02-15,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
UFC Fight Night: Felder vs. Hooker,2020-02-22,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846
UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862
UFC 248: Adesanya vs. Romero,2020-03-07,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
UFC Fight Night: Lee vs. Oliveira,2020-03-14,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
UFC 249: Ferguson vs. Gaethje,2020-05-09,https://www.bestfightodds.com/events/ufc-249-ferguson-vs-gaethje-1875
UFC Fight Night: Smith vs. Teixeira,2020-05-13,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
UFC Fight Night: Overeem vs. Harris,2020-05-16,https://www.bestfightodds.com/events/ufc-on-espn-8-overeem-vs-harris-1908
UFC Fight Night: Woodley vs. Burns,2020-05-30,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC 250: Nunes vs. Spencer,2020-06-06,https://www.bestfightodds.com/events/ufc-250-nunes-vs-spencer-1909
UFC Fight Night: Eye vs. Calvillo,2020-06-13,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,https://www.bestfightodds.com/events/ufc-on-espn-11-blaydes-vs-volkov-1897
UFC Fight Night: Poirier vs. Hooker,2020-06-27,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
UFC 251: Usman vs. Masvidal,2020-07-11,https://www.bestfightodds.com/events/ufc-251-usman-vs-masvidal-1890
UFC Fight Night: Kattar vs. Ige,2020-07-15,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
UFC Fight Night: Whittaker vs. Till,2020-07-25,https://www.bestfightodds.com/events/ufc-on-espn-14-whittaker-vs-till-1903
UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
DWCS 4.1,2020-08-04,https://www.bestfightodds.com/events/dana-white-s-contender-series-27-1941
UFC Fight Night: Lewis vs. Oleinik,2020-08-08,https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
DWCS 4.2,2020-08-11,https://www.bestfightodds.com/events/dana-white-s-contender-series-28-1934
UFC 252: Miocic vs. Cormier 3,2020-08-15,https://www.bestfightodds.com/events/ufc-252-miocic-vs-cormier-3-1919
DWCS 4.3,2020-08-18,https://www.bestfightodds.com/events/dana-white-s-contender-series-29-1935
UFC Fight Night: Munhoz vs. Edgar,2020-08-22,https://www.bestfightodds.com/events/ufc-on-espn-15-munhoz-vs-edgar-1931
DWCS 4.4,2020-08-25,https://www.bestfightodds.com/events/dana-white-s-contender-series-30-1937
UFC Fight Night: Smith vs. Rakic,2020-08-29,https://www.bestfightodds.com/events/ufc-on-espn-33-smith-vs-rakic-1932
DWCS 4.5,2020-09-01,https://www.bestfightodds.com/events/dana-white-s-contender-series-31-1940
UFC Fight Night: Overeem vs. Sakai,2020-09-05,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
DWCS 4.6,2020-09-08,https://www.bestfightodds.com/events/dana-white-s-contender-series-32-1936
UFC Fight Night: Waterson vs. Hill,2020-09-12,https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
DWCS 4.7,2020-09-15,https://www.bestfightodds.com/events/dana-white-s-contender-series-33-1969
UFC Fight Night: Covington vs. Woodley,2020-09-19,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
UFC 253: Adesanya vs. Costa,2020-09-26,https://www.bestfightodds.com/events/ufc-253-adesanya-vs-costa-1952
UFC Fight Night: Holm vs. Aldana,2020-10-03,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
UFC Fight Night: Moraes vs. Sandhagen,2020-10-10,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
UFC 254: Khabib vs. Gaethje,2020-10-24,https://www.bestfightodds.com/events/ufc-254-khabib-vs-gaethje-1958
UFC Fight Night: Hall vs. Silva,2020-10-31,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
DWCS 4.8,2020-11-04,https://www.bestfightodds.com/events/dana-white-s-contender-series-34-1968
UFC Fight Night: Santos vs. Teixeira,2020-11-07,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
DWCS 4.9,2020-11-10,https://www.bestfightodds.com/events/dana-white-s-contender-series-35-1951
UFC Fight Night: Felder vs. Dos Anjos,2020-11-14,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
DWCS 4.10,2020-11-17,https://www.bestfightodds.com/events/dana-white-s-contender-series-36-2012
UFC 255: Figueiredo vs. Perez,2020-11-21,https://www.bestfightodds.com/events/ufc-255-figueiredo-vs-perez-1967
UFC Fight Night: Smith vs. Clark,2020-11-28,https://www.bestfightodds.com/events/ufc-on-espn-18-smith-vs-clark-1979
UFC Fight Night: Hermansson vs. Vettori,2020-12-05,https://www.bestfightodds.com/events/ufc-on-espn-19-hermansson-vs-vettori-1982
UFC 256: Figueiredo vs. Moreno,2020-12-12,https://www.bestfightodds.com/events/ufc-256-figueiredo-vs-moreno-1983
UFC Fight Night: Thompson vs. Neal,2020-12-19,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
UFC Fight Night: Holloway vs. Kattar,2021-01-16,https://www.bestfightodds.com/events/ufc-on-abc-1-holloway-vs-kattar-2009
UFC Fight Night: Chiesa vs. Magny,2021-01-20,https://www.bestfightodds.com/events/ufc-on-espn-20-chiesa-vs-magny-2044
UFC 257: Poirier vs. McGregor,2021-01-23,https://www.bestfightodds.com/events/ufc-257-poirier-vs-mcgregor-2-2016
UFC Fight Night: Overeem vs. Volkov,2021-02-06,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029
UFC 258: Usman vs. Burns,2021-02-13,https://www.bestfightodds.com/events/ufc-258-usman-vs-burns-2033
UFC Fight Night: Blaydes vs. Lewis,2021-02-20,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
UFC 259: Blachowicz vs. Adesanya,2021-03-06,https://www.bestfightodds.com/events/ufc-259-blachowicz-vs-adesanya-2038
UFC Fight Night: Edwards vs. Muhammad,2021-03-13,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048
UFC Fight Night: Brunson vs. Holland,2021-03-20,https://www.bestfightodds.com/events/ufc-on-espn-21-brunson-vs-holland-2053
UFC 260: Miocic vs. Ngannou,2021-03-27,https://www.bestfightodds.com/events/ufc-260-miocic-vs-ngannou-2-2055
UFC Fight Night: Vettori vs. Holland,2021-04-10,https://www.bestfightodds.com/events/ufc-on-abc-2-vettori-vs-holland-2061
UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,https://www.bestfightodds.com/events/ufc-on-espn-22-whittaker-vs-gastelum-2062
UFC 261: Usman vs. Masvidal 2,2021-04-24,https://www.bestfightodds.com/events/ufc-261-usman-vs-masvidal-2-2087
UFC Fight Night: Reyes vs. Prochazka,2021-05-01,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
UFC Fight Night: Rodriguez vs. Waterson,2021-05-08,https://www.bestfightodds.com/events/ufc-on-espn-24-rodriguez-vs-waterson-2075
UFC 262: Oliveira vs. Chandler,2021-05-15,https://www.bestfightodds.com/events/ufc-262-oliveira-vs-chandler-2086
UFC Fight Night: Font vs. Garbrandt,2021-05-22,https://www.bestfightodds.com/events/ufc-fight-night-188-font-vs-garbrandt-2085
UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
UFC 263: Adesanya vs. Vettori 2,2021-06-12,https://www.bestfightodds.com/events/ufc-263-adesanya-vs-vettori-2-2115
UFC Fight Night: Jung vs. Ige,2021-06-19,https://www.bestfightodds.com/events/ufc-on-espn-the-korean-zombie-vs-ige-2130
UFC Fight Night: Gane vs. Volkov,2021-06-26,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
UFC 264: Poirier vs. McGregor 3,2021-07-10,https://www.bestfightodds.com/events/ufc-264-poirier-vs-mcgregor-3-2127
UFC Fight Night: Makhachev vs. Moises,2021-07-17,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
UFC Fight Night: Hall vs. Strickland,2021-07-31,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
UFC 265: Lewis vs. Gane,2021-08-07,https://www.bestfightodds.com/events/ufc-265-lewis-vs-gane-2142
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
UFC Fight Night: Barboza vs. Chikadze,2021-08-28,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
DWCS 5.1,2021-08-31,https://www.bestfightodds.com/events/dwcs-week-1-2278
UFC Fight Night: Brunson vs. Till,2021-09-04,https://www.bestfightodds.com/events/ufc-fight-night-191-2213
DWCS 5.2,2021-09-07,https://www.bestfightodds.com/events/dwcs-week-2-2277
DWCS 5.3,2021-09-14,https://www.bestfightodds.com/events/dwcs-week-3-2295
UFC Fight Night: Smith vs. Spann,2021-09-18,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
DWCS 5.4,2021-09-21,https://www.bestfightodds.com/events/dwcs-week-4-2310
UFC 266: Volkanovski vs. Ortega,2021-09-25,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177
DWCS 5.5,2021-09-28,https://www.bestfightodds.com/events/dwcs-week-5-2321
UFC Fight Night: Santos vs. Walker,2021-10-02,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
DWCS 5.6,2021-10-05,https://www.bestfightodds.com/events/dwcs-week-6-2328
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,https://www.bestfightodds.com/events/ufc-fight-night-dern-vs-rodriguez-2173
DWCS 5.7,2021-10-12,https://www.bestfightodds.com/events/dwcs-week-7-2333
UFC Fight Night: Ladd vs. Dumont,2021-10-16,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
DWCS 5.8,2021-10-19,https://www.bestfightodds.com/events/dana-white-s-contender-series-2342
UFC Fight Night: Costa vs. Vettori,2021-10-23,https://www.bestfightodds.com/events/ufc-fight-night-costa-vs-vettori-2203
DWCS 5.9,2021-10-26,https://www.bestfightodds.com/events/dwcs-week-9-2347
UFC 267: Blachowicz vs. Teixeira,2021-10-30,https://www.bestfightodds.com/events/ufc-267-brachowicz-vs-teixeira-2217
DWCS 5.10,2021-11-02,https://www.bestfightodds.com/events/dana-white-s-contender-series-2346
UFC 268: Usman vs. Covington 2,2021-11-06,https://www.bestfightodds.com/events/ufc-268-usman-vs-covington-2-2246
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,https://www.bestfightodds.com/events/ufc-fight-night-holloway-vs-rodriguez-2224
UFC Fight Night: Vieira vs. Tate,2021-11-20,https://www.bestfightodds.com/events/ufc-fight-night-vieira-vs-tate-2237
UFC Fight Night: Font vs. Aldo,2021-12-04,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-aldo-2259
UFC 269: Oliveira vs. Poirier,2021-12-11,https://www.bestfightodds.com/events/ufc-269-2279
UFC Fight Night: Lewis vs. Daukaus,2021-12-18,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-daukaus-2286
UFC Fight Night: Kattar vs. Chikadze,2022-01-15,https://www.bestfightodds.com/events/ufc-fight-night-201-2320
UFC 270: Ngannou vs. Gane,2022-01-22,https://www.bestfightodds.com/events/ufc-270-2322
UFC Fight Night: Hermansson vs. Strickland,2022-02-05,https://www.bestfightodds.com/events/ufc-vegas-47-2430
UFC 271: Adesanya vs. Whittaker 2,2022-02-12,https://www.bestfightodds.com/events/ufc-271-2338
UFC Fight Night: Walker vs. Hill,2022-02-19,https://www.bestfightodds.com/events/ufc-2413
UFC Fight Night: Makhachev vs. Green,2022-02-26,https://www.bestfightodds.com/events/ufc-fight-night-203-2343
UFC 272: Covington vs. Masvidal,2022-03-05,https://www.bestfightodds.com/events/ufc-fight-night-204-2380
UFC Fight Night: Santos vs. Ankalaev,2022-03-12,https://www.bestfightodds.com/events/ufc-2414
UFC Fight Night: Volkov vs. Aspinall,2022-03-19,https://www.bestfightodds.com/events/ufc-fight-night-205-2376
UFC Fight Night: Blaydes vs. Daukaus,2022-03-26,https://www.bestfightodds.com/events/ufc-fight-night-207-2391
UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,https://www.bestfightodds.com/events/ufc-273-2411
UFC Fight Night: Luque vs. Muhammad,2022-04-16,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: Lemos vs. Andrade,2022-04-23,https://www.bestfightodds.com/events/ufc-fight-night-lemos-vs-andrade-2435
UFC Fight Night: Font vs. Vera,2022-04-30,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-vera-2474
UFC 274: Oliveira vs. Gaethje,2022-05-07,https://www.bestfightodds.com/events/ufc-274-oliveira-vs-gaethje-2422
UFC Fight Night: Blachowicz vs. Rakic,2022-05-14,https://www.bestfightodds.com/events/ufc-fight-night-208-2418
UFC Fight Night: Holm vs. Vieira,2022-05-21,https://www.bestfightodds.com/events/ufc-fight-night-2010-2428
UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,https://www.bestfightodds.com/events/ufc-fight-night-211-2441
Road to UFC 1.1,2022-06-09,https://www.bestfightodds.com/events/road-to-ufc-2-2557
Road to UFC 1.2,2022-06-09,https://www.bestfightodds.com/events/road-to-ufc-2-2557
Road to UFC 1.3,2022-06-10,https://www.bestfightodds.com/events/road-to-ufc-4-2558
Road to UFC 1.4,2022-06-10,https://www.bestfightodds.com/events/road-to-ufc-4-2558
UFC 275: Teixeira vs. Prochazka,2022-06-11,https://www.bestfightodds.com/events/ufc-275-teixeira-vs-prochazka-2561
UFC Fight Night: Kattar vs. Emmett,2022-06-18,https://www.bestfightodds.com/events/ufc-fight-night-kattar-vs-emmett-2523
UFC Fight Night: Tsarukyan vs. Gamrot,2022-06-25,https://www.bestfightodds.com/events/ufc-on-espn-tsarukyan-vs-gamrot-2574
UFC 276: Adesanya vs. Cannonier,2022-07-02,https://www.bestfightodds.com/events/ufc-276-adesanya-vs-cannonier-2478
UFC Fight Night: Dos Anjos vs. Fiziev,2022-07-09,https://www.bestfightodds.com/events/ufc-on-espn-dos-anjos-vs-fiziev-2501
UFC Fight Night: Ortega vs. Rodriguez,2022-07-16,https://www.bestfightodds.com/events/ufc-on-abc-ortega-vs-rodriguez-2524
UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,https://www.bestfightodds.com/events/ufc-fight-night-blaydes-vs-aspinall-2519
DWCS 6.1,2022-07-26,https://www.bestfightodds.com/events/dwcs-week-1-2591
UFC 277: Pena vs. Nunes 2,2022-07-30,https://www.bestfightodds.com/events/ufc-277-pena-vs-nunes-2-2517
DWCS 6.2,2022-08-02,https://www.bestfightodds.com/events/dwcs-week-2-2602
UFC Fight Night: Santos vs. Hill,2022-08-06,https://www.bestfightodds.com/events/ufc-on-espn-santos-vs-hill-2534
DWCS 6.3,2022-08-09,https://www.bestfightodds.com/events/dwcs-week-3-2609
UFC Fight Night: Vera vs. Cruz,2022-08-13,https://www.bestfightodds.com/events/ufc-fight-night-vera-vs-cruz-2552
DWCS 6.4,2022-08-16,https://www.bestfightodds.com/events/dwcs-week-4-2618
UFC 278: Usman vs. Edwards,2022-08-20,https://www.bestfightodds.com/events/ufc-278-usman-vs-edwards-2-2545
DWCS 6.5,2022-08-23,https://www.bestfightodds.com/events/dwcs-week-5-2623
DWCS 6.6,2022-08-30,https://www.bestfightodds.com/events/dwcs-week-6-2630
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,https://www.bestfightodds.com/events/ufc-fight-night-gane-vs-tuivasa-2518
DWCS 6.7,2022-09-06,https://www.bestfightodds.com/events/dwcs-week-7-2638
UFC 279: Diaz vs. Ferguson,2022-09-10,https://www.bestfightodds.com/events/ufc-279-2541
DWCS 6.8,2022-09-13,https://www.bestfightodds.com/events/dwcs-week-8-2642
UFC Fight Night: Sandhagen vs. Song,2022-09-17,https://www.bestfightodds.com/events/ufc-fight-night-211-2569
DWCS 6.9,2022-09-20,https://www.bestfightodds.com/events/dwcs-week-9-2650
DWCS 6.10,2022-09-27,https://www.bestfightodds.com/events/dwcs-week-10-2658
UFC Fight Night: Dern vs. Yan,2022-10-01,https://www.bestfightodds.com/events/ufc-vegas-57-2489
UFC Fight Night: Grasso vs. Araujo,2022-10-15,https://www.bestfightodds.com/events/ufc-fight-night-212-2579
UFC 280: Oliveira vs. Makhachev,2022-10-22,https://www.bestfightodds.com/events/ufc-281-2586
Road to UFC 1.5,2022-10-23,https://www.bestfightodds.com/events/road-to-ufc-2681
Road to UFC 1.6,2022-10-23,https://www.bestfightodds.com/events/road-to-ufc-2681
UFC Fight Night: Kattar vs. Allen,2022-10-29,https://www.bestfightodds.com/events/ufc-fight-night-213-2606
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,https://www.bestfightodds.com/events/ufc-fight-night-214ting-championship-2612
UFC 281: Adesanya vs. Pereira,2022-11-12,https://www.bestfightodds.com/events/ufc-281-2529
UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,https://www.bestfightodds.com/events/ufc-fight-night-215-2633
UFC Fight Night: Thompson vs. Holland,2022-12-03,https://www.bestfightodds.com/events/ufc-fight-night-214-2607
UFC 282: Blachowicz vs. Ankalaev,2022-12-10,https://www.bestfightodds.com/events/ufc-282-2621
UFC Fight Night: Cannonier vs. Strickland,2022-12-17,https://www.bestfightodds.com/events/ufc-fight-night-217-2632
UFC Fight Night: Strickland vs. Imavov,2023-01-14,https://www.bestfightodds.com/events/ufc-fight-night-218-2666
UFC 283: Teixeira vs. Hill,2023-01-21,https://www.bestfightodds.com/events/ufc-283-2635
UFC Fight Night: Lewis vs. Spivac,2023-02-04,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-spivak-2747
UFC 284: Makhachev vs. Volkanovski,2023-02-11,https://www.bestfightodds.com/events/ufc-284-makhachev-vs-volkanovski-2710
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,https://www.bestfightodds.com/events/ufc-fight-night-219-2700
UFC Fight Night: Muniz vs. Allen,2023-02-25,https://www.bestfightodds.com/events/ufc-fight-night-220-2709
UFC 285: Jones vs. Gane,2023-03-04,https://www.bestfightodds.com/events/ufc-285-2738
UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,https://www.bestfightodds.com/events/ufc-fight-night-221-2719
